"repository","period","indicator","evidence"
"OpenMined/PySyft","post","C6","sha=793f535032222e9d4b7c8fa7d34104121e8e2471; file=README.md; text=## Docs ## Features - Privacy-preserving — Private data never leaves the data owner's machine; only approved results are shared - Transport-agnostic — Works over Google Drive today, extensible to any file-based transport - Offline-first — Full functionality even when peers are offline; changes sync when connectivity resumes"
"OpenMined/PySyft","post","C7","sha=793f535032222e9d4b7c8fa7d34104121e8e2471; file=README.md; text=## Docs ## Features - Privacy-preserving — Private data never leaves the data owner's machine; only approved results are shared - Transport-agnostic — Works over Google Drive today, extensible to any file-based transport - Offline-first — Full functionality even when peers are offline; changes sync when connectivity resumes"
"szad670401/HyperLPR","post","D1","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"szad670401/HyperLPR","post","C1","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"szad670401/HyperLPR","post","C2","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"tf-encrypted/tf-encrypted","post","D1","sha=b2d89f05ac39f523cf1dd120c35af8c34ef2eaee; file=README.md; text=TF Encrypted is a framework for encrypted machine learning in TensorFlow. It looks and feels like TensorFlow, taking advantage of the ease-of-use of the Keras API while enabling training and prediction over encrypted data via secure multi-party computation and homomorphic encryption. TF Encrypted aims to make privacy-preserving machine learning readily available, without requiring expertise in cryptography, distributed systems, or high performance computing."
"tf-encrypted/tf-encrypted","post","C7","sha=b2d89f05ac39f523cf1dd120c35af8c34ef2eaee; file=README.md; text=TF Encrypted is a framework for encrypted machine learning in TensorFlow. It looks and feels like TensorFlow, taking advantage of the ease-of-use of the Keras API while enabling training and prediction over encrypted data via secure multi-party computation and homomorphic encryption. TF Encrypted aims to make privacy-preserving machine learning readily available, without requiring expertise in cryptography, distributed systems, or high performance computing."
"netdata/netdata","post","D1","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-agent-security.md; text=Raw data remains local and is never transmitted. ## User Data Protection Netdata Agent safeguards your data at every stage. | Aspect | Protection Mechanism | |:------------------|:--------------------------------------------------------------------------------------|"
"netdata/netdata","post","C1","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=|:----------------|:----------------------------------------------------| | Retention | Deleted content kept 90 days | | Self-Service | Modify/delete personal data via Cloud UI | | Manual Requests | Written deletion requests processed under data laws | :::tip"
"netdata/netdata","post","C2","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=-------------------------------------------------------------------------------------------------------------| | Data Collection | • Email Address (account, communication, analytics) • IP Address (web proxy access logs) | | Data Usage | • Stored in AWS databases • Copied to BigQuery for analytics • Used for product improvement • With consent, tracking via Google Analytics, Posthog, and Gainsight PX • Stripe for secure payment handling | | Data Sharing | • No selling or sharing of personal data • Third-party services: Google Cloud/AWS (infrastructure), Stripe (payments), Analytics services | | Data Protection | • Encrypted ACLK for all infrast"
"netdata/netdata","post","C3","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=-------------------------------------------------------------------------| | Data Collection | • Email Address (account, communication, analytics) • IP Address (web proxy access logs) | | Data Usage | • Stored in AWS databases • Copied to BigQuery for analytics • Used for product improvement • With consent, tracking via Google Analytics, Posthog, and Gainsight PX • Stripe for secure payment handling | | Data Sharing | • No selling or sharing of personal data • Third-party services: Google Cloud/AWS (infrastructure), Stripe (payments), Analytics services | | Data Protection | • Encrypted ACLK for all infrastructure data • TLS encryption for al"
"netdata/netdata","post","C4","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=|:----------------|:----------------------------------------------------| | Retention | Deleted content kept 90 days | | Self-Service | Modify/delete personal data via Cloud UI | | Manual Requests | Written deletion requests processed under data laws | :::tip"
"netdata/netdata","post","C5","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=| Process | Details | |:----------------|:----------------------------------------------------| | Retention | Deleted content kept 90 days | | Self-Service | Modify/delete personal data via Cloud UI | | Manual Requests | Written deletion requests processed under data laws |"
"netdata/netdata","post","C6","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=- Advanced access controls - Tailored audit logs - Third-party security tool integration Contact Netdata Sales for enterprise solutions. ## Deleting Personal Data"
"netdata/netdata","post","C7","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-agent-security.md; text=Raw data remains local and is never transmitted. ## User Data Protection Netdata Agent safeguards your data at every stage. | Aspect | Protection Mechanism | |:------------------|:--------------------------------------------------------------------------------------|"
"apache/airflow","post","D1","sha=e0a1726aa586800ec65e2626b4d110b83ecc88fa; file=airflow-core/docs/privacy_notice.rst; text=specific language governing permissions and limitations under the License. Privacy Notice ============== The website follows the Privacy Policy of the Apache Software Foundation _."
"dmlc/xgboost","post","D1","sha=cfa442bbbf71261b7f841966b3eabf5db0a2eb25; file=doc/tutorials/privacy_preserving.rst; text=############################################# Privacy Preserving Inference with Concrete ML ############################################# Concrete ML _ is a specialized library developed by Zama that allows the execution of machine learning models on encrypted data through Fully Homomorphic Encryption (FHE) _, thereby preserving data privacy."
"dmlc/xgboost","post","C7","sha=cfa442bbbf71261b7f841966b3eabf5db0a2eb25; file=doc/tutorials/privacy_preserving.rst; text=############################################# Privacy Preserving Inference with Concrete ML ############################################# Concrete ML _ is a specialized library developed by Zama that allows the execution of machine learning models on encrypted data through Fully Homomorphic Encryption (FHE) _, thereby preserving data privacy."
"argoproj/argo-workflows","post","D1","sha=913be5f2c6b2c5f1cf360dc2323a1b4a7da51788; file=docs/survey-data-privacy.md; text=# Survey Data Privacy [Privacy policy]( )"
"kubeflow/kubeflow","pre","D1","sha=01ccdffb79e499ddd6ab5d2f60b8c0fbac5ac8df; file=README.md; text=ubeflow-core kubeflow-core # If your cluster is running on Azure you will need to set the cloud parameter. # If the cluster was created with AKS or ACS choose aks, it if was created # with acs-engine, choose acsengine # PLATFORM= # ks param set kubeflow-core cloud ${PLATFORM} # Enable collection of anonymous usage metrics # Skip this step if you don't want to enable collection. ks param set kubeflow-core reportUsage true ks param set kubeflow-core usageId $(uuidgen) # Deploy Kubeflow ks apply default -c kubeflow-core The above commands are used to setup JupyterHub and a custom resource for running TensorFlow training jobs. Furthermore, the ks"
"optuna/optuna","post","D1","sha=212384b6bd6cdc7d2c9e64544b78d94c9c8995ed; file=docs/source/privacy.rst; text=Google Analytics ---------------- To collect information about how visitors use our website and to improve our services, we are using Google Analytics on this website. You can find out more about how Google Analytics works and about how information is collected on the Google Analytics terms of services and on Google's privacy policy. - Google Analytics Terms of Service:"
"optuna/optuna","post","C2","sha=212384b6bd6cdc7d2c9e64544b78d94c9c8995ed; file=docs/source/privacy.rst; text=Google Analytics ---------------- To collect information about how visitors use our website and to improve our services, we are using Google Analytics on this website. You can find out more about how Google Analytics works and about how information is collected on the Google Analytics terms of services and on Google's privacy policy. - Google Analytics Terms of Service:"
"gunthercox/ChatterBot","post","D1","sha=2d909e2635785efdb95ea4429ac5ab94e0c28fb2; file=docs/security.rst; text=Always scan user input for prompt injection 2. Always scan bot output scan bot output to prevent PII leakage 3. Start with strict thresholds and relax if false positives occur"
"gunthercox/ChatterBot","post","C7","sha=2d909e2635785efdb95ea4429ac5ab94e0c28fb2; file=docs/security.rst; text=Always scan user input for prompt injection 2. Always scan bot output scan bot output to prevent PII leakage 3. Start with strict thresholds and relax if false positives occur"
"apple/coremltools","post","D1","sha=cac0e43df846b16558fc478d49420f95ea90203f; file=README.md; text=[Core ML]( ) is an Apple framework to integrate machine learning models into your app. Core ML provides a unified representation for all models. Your app uses Core ML APIs and user data to make predictions, and to fine-tune models, all on the user’s device. Core ML optimizes on-device performance by leveraging the CPU, GPU, and Neural Engine while minimizing its memory footprint and power consumption. Running a model strictly on the user’s device removes any need for a network connection, which helps keep the user’s data private and your app responsive."
"apple/coremltools","post","C1","sha=cac0e43df846b16558fc478d49420f95ea90203f; file=README.md; text=[Core ML]( ) is an Apple framework to integrate machine learning models into your app. Core ML provides a unified representation for all models. Your app uses Core ML APIs and user data to make predictions, and to fine-tune models, all on the user’s device. Core ML optimizes on-device performance by leveraging the CPU, GPU, and Neural Engine while minimizing its memory footprint and power consumption. Running a model strictly on the user’s device removes any need for a network connection, which helps keep the user’s data private and your app responsive."
"apple/coremltools","post","C2","sha=cac0e43df846b16558fc478d49420f95ea90203f; file=README.md; text=[Core ML]( ) is an Apple framework to integrate machine learning models into your app. Core ML provides a unified representation for all models. Your app uses Core ML APIs and user data to make predictions, and to fine-tune models, all on the user’s device. Core ML optimizes on-device performance by leveraging the CPU, GPU, and Neural Engine while minimizing its memory footprint and power consumption. Running a model strictly on the user’s device removes any need for a network connection, which helps keep the user’s data private and your app responsive."
"apple/coremltools","post","C7","sha=cac0e43df846b16558fc478d49420f95ea90203f; file=README.md; text=and to fine-tune models, all on the user’s device. Core ML optimizes on-device performance by leveraging the CPU, GPU, and Neural Engine while minimizing its memory footprint and power consumption. Running a model strictly on the user’s device removes any need for a network connection, which helps keep the user’s data private and your app responsive. ## Resources For more information, see the following:"
"NaturalIntelligence/imglab","post","D1","sha=a7a9671f0624c07e4df4673754613300a595423b; file=privacy-policy.html; text=Google utilizes the Data collected to track and examine the use of this Application, to prepare reports on its activities and share them with other Google services. Google may use the Data collected to contextualize and personalize the ads of its own advertising network. Personal Data collected: Cookies and Usage Data. Place of processing: United States – Privacy Policy – Opt Out . Privacy Shield participant."
"NaturalIntelligence/imglab","post","C1","sha=a7a9671f0624c07e4df4673754613300a595423b; file=privacy-policy.html; text=Google utilizes the Data collected to track and examine the use of this Application, to prepare reports on its activities and share them with other Google services. Google may use the Data collected to contextualize and personalize the ads of its own advertising network. Personal Data collected: Cookies and Usage Data. Place of processing: United States – Privacy Policy – Opt Out . Privacy Shield participant."
"NaturalIntelligence/imglab","post","C2","sha=a7a9671f0624c07e4df4673754613300a595423b; file=privacy-policy.html; text=Google Analytics is a web analysis service provided by Google LLC (“Google”). Google utilizes the Data collected to track and examine the use of this Application, to prepare reports on its activities and share them with other Google services. Google may use the Data collected to contextualize and personalize the ads of its own advertising network. Personal Data collected: Cookies and Usage Data. Place of processing: United States – Privacy Policy – Opt Out ."
"NaturalIntelligence/imglab","post","C5","sha=a7a9671f0624c07e4df4673754613300a595423b; file=privacy-policy.html; text=Privacy Shield participant. Removing cookies If you have any concerns about cookies, or want to remove cookies from your computer, please visit All About Cookies which explains how to do this."
"NaturalIntelligence/imglab","post","C6","sha=a7a9671f0624c07e4df4673754613300a595423b; file=privacy-policy.html; text=Google Analytics Google Analytics is a web analysis service provided by Google LLC (“Google”). Google utilizes the Data collected to track and examine the use of this Application, to prepare reports on its activities and share them with other Google services. Google may use the Data collected to contextualize and personalize the ads of its own advertising network. Personal Data collected: Cookies and Usage Data."
"ocrmypdf/OCRmyPDF","post","D1","sha=72ce05768e3dec654d7b7cbb2d4804eb93154238; file=README.md; text=- Validates input and output files - Distributes work across all available CPU cores - Keeps your private data private. - Scales properly to handle files with thousands of pages. - Battle-tested on millions of PDFs."
"ocrmypdf/OCRmyPDF","post","C7","sha=72ce05768e3dec654d7b7cbb2d4804eb93154238; file=README.md; text=- Validates input and output files - Distributes work across all available CPU cores - Keeps your private data private. - Scales properly to handle files with thousands of pages. - Battle-tested on millions of PDFs."
"pmndrs/postprocessing","post","D1","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=layout: single title: Privacy Policy description: Find out more about your personal data and how it's being processed. draft: false collection: sections"
"pmndrs/postprocessing","post","C1","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=layout: single title: Privacy Policy description: Find out more about your personal data and how it's being processed. draft: false collection: sections"
"pmndrs/postprocessing","post","C2","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=# Privacy Policy ## Introduction Personal data (usually referred to just as ""data"" below) is any information related to you which by itself or in cumulation with other pieces of information gives the opportunity to the person that collects and processes such information to identify you as a person. It can be your name, your identification number, your location data, or information related to your physical, physiological, genetic, mental, economic, cultural or social life. Such data will only be processed by us to the extent necessary and for the purpose of providing a functional and user-friendly website, including its contents, and the servi"
"pmndrs/postprocessing","post","C3","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=ansmission, dissemination, or otherwise making available, alignment, or combination, restriction, erasure, or destruction performed on personal data, whether by automated means or not. The following privacy policy is intended to inform you in particular about the type, scope, purpose, duration, and legal basis for the processing of such data either under our own control or in conjunction with others. We also inform you below about the third-party components we use to optimize our website and improve the user experience which may result in said third parties also processing data they collect and control. We recommend you to revisit these priva"
"pmndrs/postprocessing","post","C4","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=Nevertheless, users have a right to information about these recipients. Likewise, under Art. 21 GDPR, users and data subjects have the right to object to the controller's future processing of their data pursuant to Art. 6 Para. 1 lit."
"pmndrs/postprocessing","post","C5","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=1 lit. b) GDPR. Your data will be deleted once we have fully answered your inquiry and there is no further legal obligation to store your data, such as if an order or contract resulted therefrom. ### Rights Regarding Your Data With regard to the data processing, users and data subjects have the right"
"pmndrs/postprocessing","post","C6","sha=2de582e2f61cbbfa43f4e88131626ce8c4b4c46c; file=manual/content/privacy.en.md; text=onal data, whether by automated means or not. The following privacy policy is intended to inform you in particular about the type, scope, purpose, duration, and legal basis for the processing of such data either under our own control or in conjunction with others. We also inform you below about the third-party components we use to optimize our website and improve the user experience which may result in said third parties also processing data they collect and control. We recommend you to revisit these privacy policies regularly as they may change due to the continuous development of this website. ## Data Collection"
"weserv/images","pre","D1","sha=a550d64bc864984b68fd93a8ba5beb012bd65c68; file=Privacy-Policy.md; text=Last updated: February 05, 2018 Images.weserv.nl (""us"", ""we"", or ""our"") operates the website (the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Information when you use our Service. We will not use or share your information with anyone except as described in this Privacy Policy. We use your Personal Information for providing and improving the Service."
"weserv/images","pre","C1","sha=a550d64bc864984b68fd93a8ba5beb012bd65c68; file=Privacy-Policy.md; text=Last updated: February 05, 2018 Images.weserv.nl (""us"", ""we"", or ""our"") operates the website (the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Information when you use our Service. We will not use or share your information with anyone except as described in this Privacy Policy. We use your Personal Information for providing and improving the Service."
"weserv/images","pre","C2","sha=a550d64bc864984b68fd93a8ba5beb012bd65c68; file=Privacy-Policy.md; text=Last updated: February 05, 2018 Images.weserv.nl (""us"", ""we"", or ""our"") operates the website (the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Information when you use our Service. We will not use or share your information with anyone except as described in this Privacy Policy. We use your Personal Information for providing and improving the Service."
"weserv/images","pre","C5","sha=a550d64bc864984b68fd93a8ba5beb012bd65c68; file=Privacy-Policy.md; text=knowingly collect personally identifiable information from children under 13. If you are a parent or guardian and you are aware that your Children has provided us with Personal Information, please contact us. If we discover that a Children under 13 has provided us with Personal Information, we will delete such information from our servers immediately. ## Links To Other Sites Our Service may contain links to other sites that are not operated by us."
"weserv/images","pre","C6","sha=a550d64bc864984b68fd93a8ba5beb012bd65c68; file=Privacy-Policy.md; text=Last updated: February 05, 2018 Images.weserv.nl (""us"", ""we"", or ""our"") operates the website (the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Information when you use our Service. We will not use or share your information with anyone except as described in this Privacy Policy. We use your Personal Information for providing and improving the Service."
"weserv/images","post","D1","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=Last updated: November 15, 2022 wsrv.nl (""us"", ""we"", or ""our"") operates the (formerly ) website (hereinafter referred to as the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Data when you use our Service. We will not use or share your data with anyone except as described in this Privacy Policy. By using the Service, you agree to the collection and use of information in accordance with this Privacy Policy."
"weserv/images","post","C1","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=Last updated: November 15, 2022 wsrv.nl (""us"", ""we"", or ""our"") operates the (formerly ) website (hereinafter referred to as the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Data when you use our Service. We will not use or share your data with anyone except as described in this Privacy Policy. By using the Service, you agree to the collection and use of information in accordance with this Privacy Policy."
"weserv/images","post","C2","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=Last updated: November 15, 2022 wsrv.nl (""us"", ""we"", or ""our"") operates the (formerly ) website (hereinafter referred to as the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Data when you use our Service. We will not use or share your data with anyone except as described in this Privacy Policy. By using the Service, you agree to the collection and use of information in accordance with this Privacy Policy."
"weserv/images","post","C3","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=identifiable information from anyone under the age of 13. If you are a parent or guardian and you are aware that your Child has provided us with Personal Data, please contact us. If we become aware that we have collected Personal Data from anyone under the age of 13 without verification of parental consent, we will delete such information from our servers. ## Links to other sites Our Service may contain links to other websites that are not operated by us."
"weserv/images","post","C4","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=## Service providers We may employ third party companies and individuals to facilitate our Service (""Service Providers""), provide the Service on our behalf, perform Service-related services or assist us in analysing how our Service is used. These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose. ## Children's privacy Our Service does not address anyone under the age of 13 (""Children"")."
"weserv/images","post","C5","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=rmation from anyone under the age of 13. If you are a parent or guardian and you are aware that your Child has provided us with Personal Data, please contact us. If we become aware that we have collected Personal Data from anyone under the age of 13 without verification of parental consent, we will delete such information from our servers. ## Links to other sites Our Service may contain links to other websites that are not operated by us."
"weserv/images","post","C6","sha=82c0144059bb9eda91177bd922d5625ddf74dfab; file=Privacy-Policy.md; text=Last updated: November 15, 2022 wsrv.nl (""us"", ""we"", or ""our"") operates the (formerly ) website (hereinafter referred to as the ""Service""). This page informs you of our policies regarding the collection, use and disclosure of Personal Data when you use our Service. We will not use or share your data with anyone except as described in this Privacy Policy. By using the Service, you agree to the collection and use of information in accordance with this Privacy Policy."
"Faster3ck/Converseen","post","D1","sha=e7cfafbb3e3a95d310906d034656807946b02258; file=README.md; text=Converseen is available for free for several operating systems including Windows 7/8/10/11 , all versions of Linux such as Ubuntu, Mint, Fedora, Arch Linux, openSUSE either through the official repos or through AppImage , Snap and Flatpak packages, macOS 13+ , but also FreeBSD . ## Author ## Privacy Policy This program will not transfer any information to other networked systems. ## Code Signing"
"kanryu/quickviewer","post","D1","sha=ee8e06746c43baf78ece3a0d4988bd80a3c915d7; file=docs/privacypolicy.md; text=KATO Kanryu built the QuickViewer app as a Free Software app. This SERVICE is provided by KATO Kanryu at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service."
"kanryu/quickviewer","post","C1","sha=ee8e06746c43baf78ece3a0d4988bd80a3c915d7; file=docs/privacypolicy.md; text=KATO Kanryu built the QuickViewer app as a Free Software app. This SERVICE is provided by KATO Kanryu at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service."
"kanryu/quickviewer","post","C2","sha=ee8e06746c43baf78ece3a0d4988bd80a3c915d7; file=docs/privacypolicy.md; text=KATO Kanryu built the QuickViewer app as a Free Software app. This SERVICE is provided by KATO Kanryu at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service."
"kanryu/quickviewer","post","C6","sha=ee8e06746c43baf78ece3a0d4988bd80a3c915d7; file=docs/privacypolicy.md; text=KATO Kanryu built the QuickViewer app as a Free Software app. This SERVICE is provided by KATO Kanryu at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service."
"JohnSnowLabs/spark-nlp","post","D1","sha=fcede1de1962b215026c1757d7c054e6d99bb9fe; file=docs/_posts/ahmedlone127/2023-10-27-bert_small_finetuned_eoir_privacy_en.md; text=Open in Colab [Download]( ){:.button.button-orange.button-orange-trans.arr.button-icon} [Copy S3 URI](s3://auxdata.johnsnowlabs.com/public/models/bert_small_finetuned_eoir_privacy_en_5.1.4_3.4_1698380605530.zip){:.button.button-orange.button-orange-trans.button-icon.button-copy-s3} ## How to use {% include programmingLanguageSelectScalaPythonNLU.html %}"
"acl-org/acl-anthology","post","D1","sha=0b553a5e4cb485acabf45e4f7f85ee32649529bb; file=data/xml/2022.legal.xml; text=49–52 Privacy preservation of sensitive information is one of the main concerns in clinical text mining. Due to the inherent privacy risks of handling clinical data, the clinical corpora used to create the clinical Named Entity Recognition (NER) models underlying clinical de-identification systems cannot be shared. This situation implies that clinical NER models are trained and tested on data originating from the same institution since it is rarely possible to evaluate them on data belonging to a different organization. These restrictions on sharing make it very difficult to assess whether a clinical NER model has overfitted the data or if it"
"acl-org/acl-anthology","post","C1","sha=0b553a5e4cb485acabf45e4f7f85ee32649529bb; file=data/xml/2024.legal.xml; text=Denise DiPersio 39–46 A principal pillar of the US Blueprint for an AI Bill of Rights is data privacy, specifically, that individuals should be protected from abusive practices by data collectors and data aggregators, and that users should have control over how their personal information is collected and used. An area that spotlights the need for such protections is found in the common practices of data brokers who scrape, purchase, process and reassemble personal information in bulk and sell it for a variety of downstream uses. Such activities almost always occur in the absence of users’ knowledge or meaningful consent, yet they are legal un"
